"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,64;-0,247;-0,415;-0,401;-0,442;-0,245;-0,081;-0,024;-0,069;0,414;-0,369;-0,498
-0,6;-0,64;-0,247;-0,415;-0,401;-0,442;-0,245;-0,081;-0,024;-0,069;0,414;-0,369
-0,101;-0,6;-0,64;-0,247;-0,415;-0,401;-0,442;-0,245;-0,081;-0,024;-0,069;0,414
0,448;-0,101;-0,6;-0,64;-0,247;-0,415;-0,401;-0,442;-0,245;-0,081;-0,024;-0,069
0,243;0,448;-0,101;-0,6;-0,64;-0,247;-0,415;-0,401;-0,442;-0,245;-0,081;-0,024
0,248;0,243;0,448;-0,101;-0,6;-0,64;-0,247;-0,415;-0,401;-0,442;-0,245;-0,081
-0,088;0,248;0,243;0,448;-0,101;-0,6;-0,64;-0,247;-0,415;-0,401;-0,442;-0,245
-0,111;-0,088;0,248;0,243;0,448;-0,101;-0,6;-0,64;-0,247;-0,415;-0,401;-0,442
-0,417;-0,111;-0,088;0,248;0,243;0,448;-0,101;-0,6;-0,64;-0,247;-0,415;-0,401
-0,32;-0,417;-0,111;-0,088;0,248;0,243;0,448;-0,101;-0,6;-0,64;-0,247;-0,415
-0,53;-0,32;-0,417;-0,111;-0,088;0,248;0,243;0,448;-0,101;-0,6;-0,64;-0,247
-0,226;-0,53;-0,32;-0,417;-0,111;-0,088;0,248;0,243;0,448;-0,101;-0,6;-0,64
-0,525;-0,226;-0,53;-0,32;-0,417;-0,111;-0,088;0,248;0,243;0,448;-0,101;-0,6
